Total attrs: 57375
past greats	过去的伟人
score_composer	score_composer
Creative head	创意头
Native place name(s)	本地名称（秒）
lane	车道
st at2value	ST at2value
Choir	合唱团
affilition	气质
pro Team	专业团队
Resolution	分辨率
programmed in	编程
num_members	num_members
StadCapacity	stadcapacity
associateprincipal	associateprincipal
party_name_de	party_name_de
team link	团队链接
Territorial extent	领土范围
namedata2	namedata2
Use6	使用
Use5	5
Use4	使用4
Use3	3.
Use2	使用
based on the works of	基于作品的
hex1	该
open4	open4
hex3	HEX3
hex2	改
hex4	hex4
open3	操作
open2	留
Statslabel1	statslabel1
tipoaudio	tipoaudio
influence	影响
Pole_Rider_250	pole_rider_250
numberbuilt	numberbuilt
char	字符
kemisk_status-Hg	kemisk_status-hg
Catalogue	目录
free_text	free_text
water_ride	water_ride
music engineer	音乐工程师
state end	状态结束
NI members	镍构件
num_full time employees	num_full员工
soopoints	soopoints
postcode_area	postcode_area
Ship Laid down	放下船
date_demolished	date_demolished
System Zoom	系统变焦
area_GAPA_km2	area_gapa_km2
newsroomstaff	newsroomstaff
image_file	image_file
first awardee(s)	第一人（S）
Placement Officer	安置人员
no. of stores	商店的编号
amatteam3	amatteam3
amatteam2	amatteam2
amatteam1	amatteam1
Phrases	短语
image_neuron	image_neuron
litigants	当事人
Sibilings	兄弟姐妹
entrance(s)	入口（的）
bill passedConference committee	比尔passedconference委员会
File size granularity	文件粒度
DefAsstCoach	defasstcoach
Men's Doubles	男子双打
Date established	成立日期
alleance	alleance
lang	郎
temporarily discontinued	暂时中止
singer	歌手
land	土地
CoachRank	coachrank
Pushpin_map_caption	pushpin_map_caption
italic_title	italic_title
athletic director	运动主任
patch_caption	patch_caption
Apparent diameter	视直径
other main cities	其他主要城市
Governor-General2	governor-general2
Disability class	伤残等级
FT_W	ft_w
prime-minister	总理
superintendant	车间主任
Margin of victory	胜利的边缘
Post 5	岗位5
Other posts	其他职位
Public Works party 3	公共工程党3
Public Works party 2	公共工程党2
subdivision 2 type	细分2型
arabchampion	arabchampion
manageryears29	manageryears29
Number of restaurants	餐馆数量
years_actvate	years_actvate
{{Infobox All-Ireland Hurling/label|Munster|type	{ {盒全爱尔兰曲棍球/标签|明斯特|型
Winners	获奖者
fans_versus_favorites	fans_versus_favorites
complete_bible_published	complete_bible_published
largest town	最大城市
Offshore site area	近海地盘面积
top poin scorer	最高点的得分手
ethnic groups	族群
Sub	子
cityofbirth_place	cityofbirth_place
chief10_name	chief10_name
coa-pic	A图
Other rides	其他游乐设施
next-year	明年
oldurn	oldurn
service_years	service_years
Pre-Release Date	预发行日期
head of state	国家元首
Building hours	建筑小时
hk_name	hk_name
sergeant	中士
ImageWidth	imagewidth
monthly_page_impressions	monthly_page_impressions
n4	N4
ren_cost	ren_cost
Notable Instruments	值得注意的乐器
Child systems	儿童系统
interests	利益
TSB homepage	TSB的主页
Party2 seats	party2座位
Trust chairman	信托董事长
BET Hip-HopW	BET Hip希望
other_leaders	other_leaders
EchoN	亿康
J	J
years2 1994–1995	1994年–1995
assistant Principal, Guidance	助理校长
Summit area	首脑会议区
Voice type	语音类型
SAR Level	合成孔径雷达
Major ascents	主要的攀登
Mode	模式
NORDseats	nordseats
Music arranger	音乐编曲
StdInChI	stdinchi
1st chancellor	第一校长
date_of_current_ranking	date_of_current_ranking
elev_high	elev_high
BET Hip-HopN	BET Hip hOPN
org_type 4	org_type 4
Student/ teacher ratio	学生/教师比例
district motto	区座右铭
Lowest Elo ranking	ELO排名最低
thespian_troupe_leader	thespian_troupe_leader
single 4	单4
current_vice_commander_label	current_vice_commander_label
commandant	指挥官
gentile	外邦人
winsm	winsm
Prefectural cities	地级城市
hip yard number	髋码数
amateuryears8	amateuryears8
Foreshocks	前震
single 5	单5
sworntype	sworntype
amateuryears6	amateuryears6
trailer_url	trailer_url
galactic_year	galactic_year
r1-length-m nd name	r1-length-m Nd的名字
2009: Anugerah Bintang Popular	2009：请问该流行
Ethernet data rates	以太网数据速率
generation_units	generation_units
GDP rank	国内生产总值
based like	基础
BWu	BWU
DVDs/VHS Link	DVD和VHS链接
Wool color	毛色
focus areas	焦点领域
director_of_music	director_of_music
era4_propulsion_system	era4_propulsion_system
Oct high C	华侨城
entropy	熵
Oct high F	华侨城
BWg	BWG
boarding students	寄宿制学生
Special Unit	特别单位
formerly names	以前的名字
opinionEP	opinionep
country largest city area	全国最大城市
LCCN	lccn
Img_caption	img_caption
topgoals	topgoals
Passes through	经过
Hips Size	臀部尺寸
subdivision_rtype	subdivision_rtype
alternating	交替
increase2_refunum	increase2_refunum
office_style	office_style
vice-principal	副校长
teamname	teamname
Option s-color	选择s-color
lowest elevation_point m	最低elevation_point M
Musique	音乐
Earth MOID	地球模型
awards and recognition	奖励与认可
former minor_league_affiliates	前minor_league_affiliates
private support raised	私人支持
Senior Deputy vice_chancellor	高级副vice_chancellor
Operations 2	操作2
eISSN9	eissn9
icon2	icon2
ast man	AST的人
Location_cities	location_cities
EC_number	ec_number
cma	CMA
Second_Passenger_Sidecar	second_passenger_sidecar
electors_year	electors_year
HomeOT3	homeot3
side projects	侧工程
vice-rectors	副校长
Airport lounge	机场休息室
Boats	船
OT_B	ot_b
alexa rank	Alexa排名
Birth_nane	birth_nane
Recognition of relationships	关系识别
Began service	开始服务
World cup worst	世界杯最差
online avail	网上利用
early years	早年
coachdrawsF	coachdrawsf
coachdrawsD	coachdrawsd
coachdrawsE	coachdrawse
coachdrawsB	coachdrawsb
coachdrawsC	coachdrawsc
coachdrawsA	coachdrawsa
houses and their colours	房子和他们的颜色
norder	n阶
coachdraws7	coachdraws7
awardsgiven	awardsgiven
coachdraws5	coachdraws5
coachdraws2	coachdraws2
coachdraws3	coachdraws3
coachdraws1	coachdraws1
act average	平均法
DraftPick	draftpick
coachdraws8	coachdraws8
protection	保护
no. of tracks	轨道的编号
raions	raions
englishname	英文名
subsid iaries	补贴等
cabinetend	cabinetend
th_name	th_name
T20Idebutyear	t20idebutyear
Voice Type	语音类型
Prize money:	奖金：
final league	最终联赛
Spruch	Spruch
current majority	目前多数
Means of martyrdom	意味着牺牲
race director	竞赛主任
Laufraddurchmesser	laufraddurchmesser
managerclubs32	managerclubs32
name14a	name14a
managerclubs30	managerclubs30
last_contact	last_contact
May humidity	可能湿度
pattern_2a1	pattern_2a1
Tertiary institutions	三级机构
pattern_2a2	pattern_2a2
conference12_teams	conference12_teams
screenplay:	剧本：
First_Team_2	first_team_2
instrument_2_name	instrument_2_name
deputy editor	副编辑
trainingground2	trainingground2
:Korean	：韩国
Consort	配偶
water area	水域
num_cycles	num_cycles
championships	锦标赛
mather	马瑟
Government_name	government_name
Breeder	饲养员
glottorefname	glottorefname
Choreograher	choreograher
completed event	完成事件
Last race	最后一场比赛
AFLTablesRef	afltablesref
erp	ERP
divorced	离婚
board members	董事会成员
othertype	其他类型
Design firm	设计公司
naacpimageawards	naacpimageawards
era	时代
containment	遏制
World cup best	世界杯最佳
stage1fuel	stage1fuel
current address	当前地址
Hazmat	危险品
coachyear1start	coachyear1start
ru_sevensnationaltem	ru_sevensnationaltem
Patroness	女施主
type_3	type_3
Kreisschlüssel	kreisschlü24
Leicester Tigers	莱斯特虎
superior_2	superior_2
Iodine value	碘价
superior_1	superior_1
opt2n	opt2n
Student ratio	学生比例
dailogue	dailogue
maritalstatus	婚姻状况
programme controller	节目控制器
carriers	载体
Short dance	短舞
mother language	母亲语言
nuts	坚果
term_start21	term_start21
term_start20	term_start20
term_start22	term_start22
mother_language	mother_language
Training locations	训练地点
conference8_teams	conference8_teams
with original compositions by	与原创作品
Date restored	日期恢复
sworn officers	宣誓人员
Intake	摄入
img size	IMG大小
structure4_res	structure4_res
Filming dates	拍摄日期
customs	海关
former networks	前网络
bat avg6	蝙蝠avg6
bat avg5	蝙蝠avg5
bat avg4	蝙蝠avg4
bat avg3	蝙蝠avg3
bat avg2	蝙蝠avg2
bat avg1	蝙蝠Avg1
pop_municunit	pop_municunit
romaji2	romaji2
Floor height	楼层高度
total distance	总距离
Parent style	家长式
team2_ODIs_most_wickets	team2_odis_most_wickets
type of music	音乐类型
page facebook	脸谱网
SGP podium	SGP的领奖台
Basin countries	盆地国家
homejersey	homejersey
AssatCoach1	assatcoach1
brother names	兄弟名字
number_of_bowls	number_of_bowls
Ship troops	船舶部队
best grandslamsdoublesresults	最好的grandslamsdoublesresults
lastyearmen	lastyearmen
type1debutagainst	type1debutagainst
cup_winners	cup_winners
chief rector	首席牧师
Stundenleistung	stundenleistung
Serine	丝氨酸
coachyearBend	coachyearbend
champs	冠军
Bands	带
production	生产
Number of Employess	一些人
CollegeWorldSeriesBallpark	collegeworldseriesballpark
percent urban Factdate	%的城市该
coord_options	coord_options
coffee	咖啡
girl friend	女朋友
Consequences	后果
percent_other_race	percent_other_race
Vertices	顶点
natioalyears1	natioalyears1
penetration	渗透
coordinates_wikidata	coordinates_wikidata
Organism	生物
ru_year6end	ru_year6end
Animal Activist	动物活动家
changelog	更新日志
birth_2name	birth_2name
l	l
disability_classification	disability_classification
Broadcasters	广播
subdivision 2	细分2
homepage (Wharton)	主页（Wharton）
subdivision 1	细分1
runningmate	竞选伙伴
Play-Off Wins	打赢
Spoken_Language	spoken_language
paymentDebt	paymentdebt
seats_needed3	seats_needed3
location_of_document	location_of_document
seats_needed1	seats_needed1
seats_needed7	seats_needed7
eISSN2	eissn2
principal_photographer	principal_photographer
year_leader18	year_leader18
year_leader17	year_leader17
year_leader16	year_leader16
year_leader15	year_leader15
year_leader14	year_leader14
Type	型
year_leader12	year_leader12
year_leader11	year_leader11
year_leader10	year_leader10
editorial stance	编辑立场
Total length	总长度
Ship gross ton	船舶总吨
Designed By	设计
latest stable release date	最新稳定发布日期
Clerk	店员
Heir	继承人
alt_flag2	alt_flag2
trainers	培训师
2007–08	2007 08
grid_name	grid_name
class_a_amplification_factor	class_a_amplification_factor
width_km	width_km
award46W	award46w
god daughter	神的女儿
population_historical	population_historical
research groups	研究小组
last_p	last_p
Religious stance	宗教立场
First_Country_2	first_country_2
managerclubs39	managerclubs39
managerclubs38	managerclubs38
executive_management	executive_management
L1 cache	L1缓存
managerclubs33	managerclubs33
name other	其他名称
managerclubs31	managerclubs31
occupationprofession	occupationprofession
managerclubs37	managerclubs37
managerclubs36	managerclubs36
managerclubs35	managerclubs35
managerclubs34	managerclubs34
season 2007/08	季节2007 / 08
Outlook	展望
yard	院子里
Original work	原创作品
asst director	助理总监
south end	南端
Peerage	贵族
bestongroundmedal	bestongroundmedal
comnpany	公司
serving_river	serving_river
Youngers	年轻人
Place_Death	place_death
postal2_code	postal2_code
retited	retited
Green lodge	绿色小屋
part2_choice2_color	part2_choice2_color
DNSSEC	DNSSEC
synonymous	同义词
reference implementation	参考实施
Present holder	本支架
Split from	分裂
notary_name	notary_name
firing method	射击方法
inkers	墨
illustrate	说明
module_image	module_image
h5-length-m	h5-length-m
QUELLE	您的
international representations	国际交涉
h5-length-f	h5-length-f
SHip hold depth	船舶深度
OMIM_mult	omim_mult
stage1aname	stage1aname
Editor in chief	总编辑
closing date	截止日期
AC first	交流第一
Top notes	顶部注释
postal_code2	postal_code2
honoured_in	honoured_in
coachdraws6	coachdraws6
Q2y	q2y
political_groups	political_groups
badge created by	徽章创造
literacy rate	识字率
winning_time	winning_time
Notable_instrument	notable_instrument
stategov2	stategov2
cartridge length	筒长
terr chan 22	台陈22
terr chan 27	台陈27
terr chan 26	台陈26
listMagarey Medal	listmagarey奖章
Military service	军事服务
languege	语言
foundators	foundators
lien région	留置权Ré祗园
callsign_meanin	callsign_meanin
Past Commandants	过去的指挥员
Board Chairman	董事会主席
location (temporary)	位置（临时）
Height (foundation)	高度（基础）
saturday_frequency	saturday_frequency
club motto	俱乐部格言
Sold by	卖
Pole_Country	pole_country
statut	罗马
Last_RDF_Commander	last_rdf_commander
Second_crit	second_crit
Total	总
average attendance	平均出席率
VisitorOT2	visitorot2
VisitorOT7	visitorot7
VisitorOT5	visitorot5
Assets Under Management	管理资产
flag_fourth	flag_fourth
g force	克力
watercoasters	watercoasters
temporary_closure	temporary_closure
seats_needed5	seats_needed5
second_season	second_season
vicar_general	vicar_general
Domestic Ranking	国内排名
First Single	第一单
dmi-fastest	DMI快
high school enrollment	高中招生
exposure	曝光
Working-status	工作状态
Abilities	能力
organization form	组织形式
partyyears	partyyears
CWUR_N	cwur_n
Scientific Consultant	科学顾问
compete	竞争
CWUR_W	cwur_w
date of current ranking	当前排序日期
telescope5_name	telescope5_name
birth_nam	birth_nam
Senior pastor(s)	高级牧师（的）
seats_for_election	seats_for_election
Face book	面书
tower_height_max	tower_height_max
motto translation	座右铭翻译
Supporting album	配套相册
mmakolosses	mmakolosses
image size	图像大小
Nationalday	国庆节
Flight Number	航班号
refnum	引用句柄
AVM school in principle	学校原则上动静脉畸形
metropolitan_borough1	metropolitan_borough1
dean of Students	学生系主任
part1_choice4	part1_choice4
Ship CMS	船舶合作医疗
emc	EMC
Agent	代理
term8b	term8b
Maiden flights	处女航
secretarz	secretarz
secretary	秘书
